term,estimate,std.error,statistic,p.value,nct_id,model_n
sex,-0.823,0.32,-2.5727837975,0.0100884207,NCT02172586,4
como_cnt,0.717,0.644,1.1126243088,0.2658698158,NCT02172586,4
I(como_cnt^2),-0.132,0.37,-0.3561497755,0.7217284023,NCT02172586,4
(Intercept),-3.059,0.364,-8.4112163903,4.0578032011154596e-17,NCT02175355,1
age_std,0.557,0.337,1.6532632114,0.0982773067,NCT02175355,1
sex,0.182,0.427,0.426915483,0.6694408878,NCT02175355,1
como_cnt,0.007,0.262,0.0262800726,0.9790339492,NCT02175355,1
(Intercept),-3.279,0.4,-8.2035611325,2.333689033884285e-16,NCT02175355,2
age_std,0.531,0.341,1.5564766939,0.1195947805,NCT02175355,2
sex,0.221,0.429,0.515096139,0.6064858406,NCT02175355,2
como_cnt,1.555,0.838,1.8564140265,0.063394567,NCT02175355,2
I(como_cnt^2),-0.835,0.477,-1.7481937853,0.0804304774,NCT02175355,2
(Intercept),-3.055,0.326,-9.3589020351,8.056956568028723e-21,NCT02175355,5
age_std,0.558,0.334,1.6713242654,0.094657646,NCT02175355,5
sex,0.181,0.425,0.4261778981,0.6699782212,NCT02175355,5
(Intercept),-3.233,0.411,-7.8648702885,3.694800946725258e-15,NCT02175355,3
age_std,0.443,0.315,1.4056464073,0.1598291484,NCT02175355,3
I(age_std^2),0.348,0.34,1.0227466358,0.3064276552,NCT02175355,3
sex,0.17,0.429,0.3959741552,0.6921240944,NCT02175355,3
como_cnt,0.023,0.265,0.086147475,0.9313491843,NCT02175355,3
(Intercept),-3.478,0.45,-7.7210562121,1.1536965618375244e-14,NCT02175355,4
age_std,0.399,0.318,1.2557768053,0.2091969034,NCT02175355,4
I(age_std^2),0.381,0.342,1.1118106881,0.2662195554,NCT02175355,4
sex,0.215,0.432,0.4968853719,0.6192698876,NCT02175355,4
como_cnt,1.618,0.848,1.9084646568,0.056331187,NCT02175355,4
I(como_cnt^2),-0.857,0.481,-1.7807834867,0.0749478281,NCT02175355,4
(Intercept),-2.243,0.37,-6.0676181025,1.2982114869644048e-9,NCT02177396,1
age_std,-0.145,0.276,-0.5248608813,0.5996799051,NCT02177396,1
sex,-0.589,0.372,-1.5822939923,0.1135824716,NCT02177396,1
como_cnt,0.083,0.195,0.4233935228,0.6720081699,NCT02177396,1
(Intercept),-2.26,0.393,-5.7460726282,9.134008601077294e-9,NCT02177396,2
age_std,-0.147,0.277,-0.5317553521,0.5948954495,NCT02177396,2
sex,-0.585,0.374,-1.5666415231,0.1171985064,NCT02177396,2
como_cnt,0.128,0.405,0.3153462926,0.7524987402,NCT02177396,2
I(como_cnt^2),-0.015,0.119,-0.1257968709,0.8998927188,NCT02177396,2
(Intercept),-2.163,0.314,-6.8979839357,5.2745709393752475e-12,NCT02177396,5
age_std,-0.142,0.277,-0.5123291523,0.6084206658,NCT02177396,5
sex,-0.615,0.367,-1.6763753353,0.093664697,NCT02177396,5
(Intercept),-2.259,0.37,-6.1134650574,9.749072551265873e-10,NCT02177396,3
age_std,-0.019,0.394,-0.0475597781,0.9620670882,NCT02177396,3
I(age_std^2),0.121,0.277,0.4376575548,0.6616345426,NCT02177396,3
sex,-0.598,0.373,-1.6025491061,0.1090342377,NCT02177396,3
como_cnt,0.081,0.195,0.4137799799,0.6790352471,NCT02177396,3
(Intercept),-2.276,0.394,-5.7791036714,7.50996418898562e-9,NCT02177396,4
age_std,-0.021,0.394,-0.0541438508,0.9568205556,NCT02177396,4
I(age_std^2),0.121,0.276,0.4367327052,0.6623052078,NCT02177396,4
sex,-0.594,0.375,-1.5856169962,0.1128262184,NCT02177396,4
como_cnt,0.125,0.403,0.3091712565,0.7571912575,NCT02177396,4
I(como_cnt^2),-0.014,0.118,-0.1230399865,0.9020754339,NCT02177396,4
(Intercept),-1.13,0.293,-3.8550870988,1.1568843374569803e-4,NCT02177461,1
age_std,0.479,0.342,1.4002849691,0.1614280001,NCT02177461,1
sex,-0.276,0.231,-1.1933779602,0.2327213826,NCT02177461,1
como_cnt,0.013,0.222,0.0598277775,0.9522928019,NCT02177461,1
(Intercept),-1.218,0.299,-4.0721772569,4.6575712078798616e-5,NCT02177461,2
age_std,0.534,0.347,1.5399061557,0.1235832301,NCT02177461,2
sex,-0.285,0.233,-1.2214742288,0.2219065174,NCT02177461,2
como_cnt,1.619,0.749,2.1620973337,0.0306106745,NCT02177461,2
I(como_cnt^2),-1.18,0.584,-2.0194617261,0.0434392515,NCT02177461,2
(Intercept),-1.128,0.29,-3.8923167767,9.929148163823528e-5,NCT02177461,5
age_std,0.481,0.342,1.40613405,0.1596843231,NCT02177461,5
sex,-0.276,0.231,-1.195209501,0.2320051874,NCT02177461,5
(Intercept),-0.75,0.355,-2.1110074158,0.0347716745,NCT02177461,3
age_std,-0.912,0.779,-1.1712891387,0.2414825757,NCT02177461,3
I(age_std^2),1.006,0.488,2.0620079665,0.0392069775,NCT02177461,3
sex,-0.325,0.234,-1.384965178,0.1660631153,NCT02177461,3
como_cnt,0.005,0.223,0.0216848698,0.9826993331,NCT02177461,3
(Intercept),-0.836,0.358,-2.3352286928,0.019531477,NCT02177461,4
age_std,-0.89,0.777,-1.1465824959,0.2515542142,NCT02177461,4
I(age_std^2),1.04,0.488,2.1290918788,0.0332466596,NCT02177461,4
sex,-0.336,0.236,-1.422036718,0.1550155919,NCT02177461,4
como_cnt,1.681,0.754,2.2286546481,0.025836892,NCT02177461,4
