term,estimate,std.error,statistic,p.value,nct_id,model_n
sex,0.29,0.399,0.7258786577,0.4679131612,NCT00144508,5
(Intercept),-1.882,0.283,-6.6426518825,3.08088916185461e-11,NCT00144508,3
age_std,0.786,0.272,2.8886563987,0.0038689158,NCT00144508,3
I(age_std^2),0.402,0.167,2.4052412461,0.0161617927,NCT00144508,3
sex,0.364,0.409,0.8886978621,0.3741654804,NCT00144508,3
como_cnt,-0.168,0.234,-0.7191682922,0.4720372334,NCT00144508,3
(Intercept),-1.973,0.305,-6.4621917323,1.0319722540977449e-10,NCT00144508,4
age_std,0.785,0.272,2.881788388,0.003954252,NCT00144508,4
I(age_std^2),0.407,0.168,2.4294792845,0.015120529,NCT00144508,4
sex,0.402,0.412,0.9764302301,0.3288513069,NCT00144508,4
como_cnt,0.331,0.585,0.5662437141,0.5712281172,NCT00144508,4
I(como_cnt^2),-0.253,0.281,-0.9002946628,0.3679634606,NCT00144508,4
(Intercept),-1.488,0.154,-9.6640807751,4.284489197355776e-22,NCT01007435,1
age_std,-0.253,0.102,-2.483004333,0.0130279503,NCT01007435,1
sex,0.242,0.215,1.1258399563000001,0.2602332682,NCT01007435,1
como_cnt,0.421,0.082,5.1548245878,2.538684600292254e-7,NCT01007435,1
(Intercept),-1.582,0.162,-9.7350327111,2.137489143325832e-22,NCT01007435,2
age_std,-0.257,0.102,-2.5146952198,0.0119135325,NCT01007435,2
sex,0.224,0.216,1.0377572542,0.2993830822,NCT01007435,2
como_cnt,0.772,0.189,4.0850131282,4.4074324575465976e-5,NCT01007435,2
I(como_cnt^2),-0.102,0.05,-2.0606663389,0.0393348831,NCT01007435,2
(Intercept),-1.064,0.123,-8.6850406644,3.786069162844107e-18,NCT01007435,5
age_std,-0.119,0.097,-1.229751071,0.2187903358,NCT01007435,5
sex,0.241,0.21,1.1482772326,0.2508541348,NCT01007435,5
(Intercept),-1.491,0.154,-9.7047806807,2.876943621851567e-22,NCT01007435,3
age_std,-0.168,0.181,-0.9278407595,0.3534901776,NCT01007435,3
I(age_std^2),0.05,0.089,0.5676473127,0.5702744739,NCT01007435,3
sex,0.245,0.215,1.1420621528,0.2534281858,NCT01007435,3
como_cnt,0.416,0.082,5.0774498931,3.825343436484503e-7,NCT01007435,3
(Intercept),-1.586,0.162,-9.7665711689,1.5666457219743794e-22,NCT01007435,4
age_std,-0.165,0.18,-0.9191375595,0.3580236258,NCT01007435,4
I(age_std^2),0.055,0.089,0.6173995229,0.5369712366,NCT01007435,4
sex,0.228,0.216,1.0554817907,0.2912050332,NCT01007435,4
como_cnt,0.769,0.189,4.0694547097,4.7123298632647226e-5,NCT01007435,4
I(como_cnt^2),-0.103,0.05,-2.0733142749,0.0381430411,NCT01007435,4
(Intercept),-1.757,0.294,-5.9768039828,2.2755772945322585e-9,NCT01119859,1
age_std,0.232,0.193,1.202089777,0.2293287467,NCT01119859,1
sex,0.445,0.351,1.2672193806,0.2050768578,NCT01119859,1
como_cnt,0.076,0.125,0.6101795291,0.5417428887,NCT01119859,1
(Intercept),-1.408,0.334,-4.2172305739,2.4732105100484437e-5,NCT01119859,2
age_std,0.264,0.194,1.3631541478,0.1728339346,NCT01119859,2
sex,0.478,0.353,1.3551769183,0.1753611968,NCT01119859,2
como_cnt,-0.46,0.306,-1.5001195101,0.133583448,NCT01119859,2
I(como_cnt^2),0.12,0.063,1.9096537142,0.0561778142,NCT01119859,2
(Intercept),-1.619,0.181,-8.9460469737,3.6844032718274083e-19,NCT01119859,5
age_std,0.269,0.182,1.4762132361,0.1398866574,NCT01119859,5
sex,0.432,0.35,1.2349836734,0.2168365805,NCT01119859,5
(Intercept),-1.706,0.307,-5.5598669692,2.6998035775363047e-8,NCT01119859,3
age_std,0.147,0.247,0.5939430684,0.5525501918,NCT01119859,3
I(age_std^2),-0.109,0.194,-0.5654598611,0.5717610184,NCT01119859,3
sex,0.442,0.351,1.2594817455,0.2078563796,NCT01119859,3
como_cnt,0.08,0.125,0.6380173113,0.5234624113,NCT01119859,3
(Intercept),-1.332,0.349,-3.814937218,1.3621756074137618e-4,NCT01119859,4
age_std,0.157,0.251,0.6257497767,0.5314790785,NCT01119859,4
I(age_std^2),-0.138,0.196,-0.7065313722,0.4798577501,NCT01119859,4
sex,0.473,0.353,1.3415382438,0.1797457616,NCT01119859,4
como_cnt,-0.471,0.307,-1.5347932088,0.1248346315,NCT01119859,4
I(como_cnt^2),0.123,0.063,1.9574038579,0.0503000053,NCT01119859,4
(Intercept),-7.424,2.949,-2.5174349868,0.0118212784,NCT01209702,1
age_std,-2.02,1.179,-1.712362877,0.0868298159,NCT01209702,1
sex,-0.38,1.33,-0.2855893371,0.7751926713,NCT01209702,1
como_cnt,1.222,0.669,1.8258492695,0.0678729695,NCT01209702,1
(Intercept),-7.424,2.95,-2.5165022581,0.0118526141,NCT01209702,2
age_std,-2.019,1.203,-1.6781733644,0.0933132599,NCT01209702,2
sex,-0.38,1.351,-0.2809613696,0.7787400294,NCT01209702,2
como_cnt,1.224,1.513,0.8090650521,0.4184777291,NCT01209702,2
I(como_cnt^2),-0.001,0.437,-0.001484711,0.9988153724,NCT01209702,2
(Intercept),-4.625,1.755,-2.6344503909,0.0084273618,NCT01209702,5
age_std,-1.041,0.889,-1.1707570768,0.2416964355,NCT01209702,5
sex,-0.55,1.265,-0.4344640811,0.6639514727,NCT01209702,5
(Intercept),-13.875,8.696,-1.5955263252,0.110594588,NCT01209702,3
age_std,-10.397,9.627,-1.0799631524,0.280158589,NCT01209702,3
I(age_std^2),-2.522,2.76,-0.9136040436,0.3609249409,NCT01209702,3
sex,-0.207,1.407,-0.1469193349,0.8831956905,NCT01209702,3
como_cnt,1.376,0.724,1.9005019523,0.057367279,NCT01209702,3
(Intercept),-20.714,16.082,-1.2880163532,0.1977402707,NCT01209702,4
age_std,-17.73,16.855,-1.0519014658,0.2928447593,NCT01209702,4
I(age_std^2),-4.375,4.424,-0.9889399826,0.3226925069,NCT01209702,4
sex,-0.046,1.438,-0.0317154751,0.9746989538,NCT01209702,4
como_cnt,-0.115,2.237,-0.0513155113,0.9590741081,NCT01209702,4
I(como_cnt^2),0.636,0.961,0.6616663688,0.5081850628,NCT01209702,4
(Intercept),-1.196,0.173,-6.9107189309,4.82203621788663e-12,NCT01232569,1
age_std,0.067,0.121,0.5545060845,0.5792325428,NCT01232569,1
sex,0.254,0.235,1.0798993649,0.2801869961,NCT01232569,1
como_cnt,0.532,0.079,6.7044311171,2.0219250335331552e-11,NCT01232569,1
(Intercept),-1.177,0.197,-5.9867704033,2.140485985923484e-9,NCT01232569,2
age_std,0.069,0.121,0.5720978011,0.5672557188,NCT01232569,2
sex,0.252,0.235,1.0698036116,0.2847077163,NCT01232569,2
como_cnt,0.495,0.199,2.4810613522,0.0130991825,NCT01232569,2
I(como_cnt^2),0.01,0.052,0.2009036624,0.8407739039,NCT01232569,2
(Intercept),-0.303,0.104,-2.9124959316,0.0035855287,NCT01232569,5
age_std,0.369,0.109,3.3755887783,7.365792332020057e-4,NCT01232569,5
sex,0.061,0.224,0.2728793007,0.7849459985,NCT01232569,5
(Intercept),-1.189,0.174,-6.8482392774,7.476444070141234e-12,NCT01232569,3
age_std,-0.001,0.194,-0.0058620571,0.9953227819,NCT01232569,3
I(age_std^2),-0.052,0.116,-0.4474008112,0.6545856902,NCT01232569,3
sex,0.256,0.235,1.0895020715,0.2759325418,NCT01232569,3
como_cnt,0.533,0.079,6.714720567,1.884269566736292e-11,NCT01232569,3
(Intercept),-1.167,0.198,-5.9048863828,3.528898684073687e-9,NCT01232569,4
age_std,-0.001,0.194,-0.0064730779,0.9948352671,NCT01232569,4
I(age_std^2),-0.054,0.116,-0.4648289534,0.6420539518,NCT01232569,4
sex,0.254,0.235,1.078311965,0.2808945593,NCT01232569,4
como_cnt,0.489,0.2,2.4463697231,0.0144302937,NCT01232569,4
I(como_cnt^2),0.012,0.052,0.2371606429,0.8125321678,NCT01232569,4
(Intercept),-2.055,0.455,-4.5162402036,6.294725919169461e-6,NCT01264939,1
age_std,-0.075,0.172,-0.4332270072,0.6648498604,NCT01264939,1
sex,-0.092,0.362,-0.2531061159,0.8001862129,NCT01264939,1
como_cnt,0.064,0.131,0.4896112877,0.6244089875,NCT01264939,1
(Intercept),-1.416,0.629,-2.249320513,0.0244921117,NCT01264939,2
age_std,-0.1,0.174,-0.5755516435,0.5649182742,NCT01264939,2
sex,-0.143,0.366,-0.3910809367,0.6957374111,NCT01264939,2
como_cnt,-0.505,0.43,-1.1755624883,0.2397697528,NCT01264939,2
I(como_cnt^2),0.096,0.069,1.3932752136,0.163536583,NCT01264939,2
(Intercept),-1.88,0.274,-6.8609787974,6.839031480466906e-12,NCT01264939,5
age_std,-0.059,0.169,-0.3477575864,0.7280222449,NCT01264939,5
sex,-0.103,0.361,-0.2845415921,0.7759953648,NCT01264939,5
(Intercept),-2.097,0.469,-4.4676355936,7.908888085457625e-6,NCT01264939,3
age_std,-0.239,0.435,-0.5507136928,0.5818299566,NCT01264939,3
I(age_std^2),-0.07,0.169,-0.4158233298,0.677539286,NCT01264939,3
sex,-0.087,0.362,-0.2415204636,0.8091517582,NCT01264939,3
como_cnt,0.066,0.131,0.5050672722,0.6135115873,NCT01264939,3
(Intercept),-1.457,0.641,-2.2732388307,0.0230117915,NCT01264939,4
age_std,-0.259,0.438,-0.590330951,0.5549687929,NCT01264939,4
I(age_std^2),-0.068,0.17,-0.3966299279,0.6916403797,NCT01264939,4
sex,-0.138,0.366,-0.3766331578,0.706446243,NCT01264939,4
como_cnt,-0.501,0.431,-1.1648744822,0.2440698041,NCT01264939,4
I(como_cnt^2),0.096,0.069,1.3856405809,0.1658566802,NCT01264939,4
(Intercept),-2.195,0.522,-4.2025601075,2.6391313935596952e-5,NCT01287117,1
age_std,-0.482,0.244,-1.9735587294,0.0484319404,NCT01287117,1
sex,0.328,0.453,0.723785047,0.4691977108,NCT01287117,1
como_cnt,-0.189,0.196,-0.9637077691,0.3351924582,NCT01287117,1
(Intercept),-2.319,0.553,-4.1936833364,2.744610571812078e-5,NCT01287117,2
age_std,-0.491,0.245,-2.0029335526,0.0451844211,NCT01287117,2
sex,0.356,0.455,0.7828643336,0.4337067839,NCT01287117,2
como_cnt,0.193,0.55,0.3511576878,0.7254700515,NCT01287117,2
I(como_cnt^2),-0.123,0.177,-0.694104981,0.4876163751,NCT01287117,2
(Intercept),-2.467,0.452,-5.4588955166,4.7910558309933176e-8,NCT01287117,5
age_std,-0.534,0.236,-2.2678706232,0.0233370933,NCT01287117,5
sex,0.36,0.451,0.7996247042,0.4239282698,NCT01287117,5
(Intercept),-1.928,0.554,-3.4817170467,4.982098369027693e-4,NCT01287117,3
age_std,0.122,0.63,0.1940544189,0.8461332716,NCT01287117,3
I(age_std^2),0.218,0.216,1.0066440905,0.3141058385,NCT01287117,3
sex,0.282,0.458,0.6160949766,0.5378318373,NCT01287117,3
como_cnt,-0.22,0.199,-1.1024299211,0.2702748094,NCT01287117,3
(Intercept),-2.058,0.578,-3.5613238578,3.6898961283130015e-4,NCT01287117,4
age_std,0.128,0.618,0.2066588001,0.8362763355,NCT01287117,4
I(age_std^2),0.225,0.213,1.0530851026,0.2923019899,NCT01287117,4
sex,0.308,0.46,0.6684688993,0.5038343279,NCT01287117,4
como_cnt,0.196,0.562,0.3487692374,0.72726256,NCT01287117,4
I(como_cnt^2),-0.135,0.183,-0.7374809213,0.4608299412,NCT01287117,4
(Intercept),-2.283,0.644,-3.5430929828,3.9546324073492996e-4,NCT01292473,1
age_std,-0.52,0.33,-1.5760986436,0.1150030716,NCT01292473,1
sex,-1.839,1.059,-1.7361827745,0.082531522,NCT01292473,1
como_cnt,-0.196,0.247,-0.7940267342,0.4271798679,NCT01292473,1
(Intercept),-2.273,0.662,-3.4323274593,5.984245261296433e-4,NCT01292473,2
age_std,-0.521,0.33,-1.5773623966,0.1147121627,NCT01292473,2
sex,-1.842,1.061,-1.737017681,0.08238405,NCT01292473,2
como_cnt,-0.233,0.612,-0.3805938097,0.7035046754,NCT01292473,2
I(como_cnt^2),0.012,0.178,0.0653835604,0.9478686129,NCT01292473,2
(Intercept),-2.592,0.534,-4.8503450642,1.2324687395226279e-6,NCT01292473,5
age_std,-0.578,0.322,-1.7965755927,0.0724030221,NCT01292473,5
sex,-1.746,1.052,-1.6600167212,0.0969110887,NCT01292473,5
(Intercept),-2.031,0.639,-3.1756991821,0.0014947587,NCT01292473,3
age_std,0.211,0.706,0.2992054576,0.7647832854,NCT01292473,3
I(age_std^2),0.291,0.263,1.1053010275,0.2690291729,NCT01292473,3
sex,-1.842,1.063,-1.732903807,0.0831127675,NCT01292473,3
como_cnt,-0.214,0.251,-0.8521922424,0.3941074016,NCT01292473,3
(Intercept),-2.026,0.654,-3.0993603685,0.0019393897,NCT01292473,4
age_std,0.209,0.707,0.2960056697,0.7672257516,NCT01292473,4
I(age_std^2),0.29,0.263,1.1030136209,0.2700212501,NCT01292473,4
sex,-1.844,1.064,-1.7323286417,0.0832150652,NCT01292473,4
como_cnt,-0.232,0.623,-0.372852344,0.7092583424,NCT01292473,4
I(como_cnt^2),0.006,0.182,0.0326419571,0.9739601108,NCT01292473,4
(Intercept),-0.593,0.059,-10.0975538814,5.663728168687715e-24,NCT00694382,1
age_std,0.171,0.052,3.2750196929,0.0010565461,NCT00694382,1
sex,0.119,0.075,1.5849577806,0.112975927,NCT00694382,1
como_cnt,-0.037,0.734,-0.0498300964,0.960257783,NCT00694382,1
(Intercept),-0.593,0.059,-10.0975538814,5.663728168687715e-24,NCT00694382,2
age_std,0.171,0.052,3.2750196929,0.0010565461,NCT00694382,2
sex,0.119,0.075,1.5849577806,0.112975927,NCT00694382,2
como_cnt,-0.037,0.734,-0.0498300964,0.960257783,NCT00694382,2
(Intercept),-0.593,0.059,-10.0986629754,5.600046129830545e-24,NCT00694382,5
age_std,0.171,0.052,3.2748532144,0.0010571689,NCT00694382,5
sex,0.119,0.075,1.5841907154,0.1131503255,NCT00694382,5
(Intercept),-0.622,0.064,-9.7092206516,2.754350106572568e-22,NCT00694382,3
age_std,0.186,0.054,3.4769627175,5.071283301245828e-4,NCT00694382,3
I(age_std^2),0.059,0.051,1.1602812082,0.2459343329,NCT00694382,3
sex,0.12,0.075,1.5980284297,0.1100366501,NCT00694382,3
como_cnt,-0.078,0.734,-0.1063026076,0.9153422627,NCT00694382,3
(Intercept),-0.622,0.064,-9.7092206516,2.754350106572568e-22,NCT00694382,4
age_std,0.186,0.054,3.4769627175,5.071283301245828e-4,NCT00694382,4
I(age_std^2),0.059,0.051,1.1602812082,0.2459343329,NCT00694382,4
sex,0.12,0.075,1.5980284297,0.1100366501,NCT00694382,4
como_cnt,-0.078,0.734,-0.1063026076,0.9153422627,NCT00694382,4
(Intercept),0.216,0.217,0.9990552142,0.3177679449,NCT00783718,1
age_std,0.03,0.1,0.3041752499,0.7609943797,NCT00783718,1
sex,0.29,0.165,1.7587479528,0.0786203286,NCT00783718,1
como_cnt,0.134,0.08,1.6777581534,0.0933943216,NCT00783718,1
(Intercept),0.164,0.222,0.7409132683,0.45874603,NCT00783718,2
age_std,0.029,0.1,0.2879381363,0.773394094,NCT00783718,2
sex,0.292,0.165,1.7721059267,0.0763769753,NCT00783718,2
como_cnt,0.297,0.173,1.7158734557,0.086185206,NCT00783718,2
I(como_cnt^2),-0.049,0.046,-1.0725742616,0.283462178,NCT00783718,2
(Intercept),0.421,0.18,2.3383723483,0.0193679409,NCT00783718,5
age_std,0.088,0.094,0.9301385297,0.3522993638,NCT00783718,5
sex,0.284,0.164,1.728909559,0.083825283,NCT00783718,5
(Intercept),0.208,0.227,0.913117348,0.3611808273,NCT00783718,3
age_std,0.001,0.251,0.0057723017,0.9953943952,NCT00783718,3
I(age_std^2),-0.012,0.096,-0.1254755372,0.9001470905,NCT00783718,3
sex,0.29,0.165,1.76029387,0.078357993,NCT00783718,3
como_cnt,0.135,0.08,1.6818034587,0.0926069578,NCT00783718,3
(Intercept),0.153,0.233,0.6564659801,0.5115243497,NCT00783718,4
age_std,-0.008,0.252,-0.0319276099,0.9745297804,NCT00783718,4
I(age_std^2),-0.015,0.097,-0.1594352426,0.8733259744,NCT00783718,4
sex,0.293,0.165,1.7742720383,0.0760181634,NCT00783718,4
como_cnt,0.299,0.173,1.7220714308,0.0850565796,NCT00783718,4
I(como_cnt^2),-0.049,0.046,-1.0772036838,0.2813892799,NCT00783718,4
(Intercept),-0.113,0.082,-1.3893139554,0.1647373021,NCT00856284,1
age_std,-0.198,0.074,-2.6544980455,0.00794265,NCT00856284,1
sex,-0.075,0.096,-0.7841896385,0.432928844,NCT00856284,1
como_cnt,0.003,0.054,0.053899747,0.9570150382,NCT00856284,1
(Intercept),-0.093,0.084,-1.1145130994,0.2650591279,NCT00856284,2
age_std,-0.202,0.075,-2.7130742205,0.0066662174,NCT00856284,2
sex,-0.073,0.096,-0.7642804127,0.4447001554,NCT00856284,2
como_cnt,-0.102,0.113,-0.9105893921,0.3625117618,NCT00856284,2
I(como_cnt^2),0.037,0.035,1.0625795175,0.2879726797,NCT00856284,2
(Intercept),-0.111,0.072,-1.5500649465,0.1211259284,NCT00856284,5
age_std,-0.197,0.074,-2.658363779,0.0078521086,NCT00856284,5
sex,-0.075,0.096,-0.7883355272,0.430500472,NCT00856284,5
(Intercept),-0.178,0.085,-2.0873988504,0.0368520958,NCT00856284,3
age_std,-0.029,0.096,-0.302488288,0.7622798604,NCT00856284,3
I(age_std^2),0.239,0.088,2.7115167588,0.0066976155,NCT00856284,3
sex,-0.079,0.096,-0.8232902469,0.4103429586,NCT00856284,3
como_cnt,-0.002,0.055,-0.0454557412,0.9637440518,NCT00856284,3
(Intercept),-0.159,0.087,-1.815632403,0.0694267796,NCT00856284,4
age_std,-0.036,0.097,-0.3712997006,0.7104143209,NCT00856284,4
I(age_std^2),0.235,0.088,2.6686107147,0.0076165671,NCT00856284,4
sex,-0.077,0.096,-0.8049788093,0.4208319083,NCT00856284,4
como_cnt,-0.097,0.113,-0.8563742551,0.3917908003,NCT00856284,4
I(como_cnt^2),0.033,0.035,0.9461528765,0.3440706174,NCT00856284,4
(Intercept),-2.13,0.103,-20.7245479969,2.080719817964867e-95,NCT00968708,1
age_std,0.531,0.067,7.9129587167,2.513427235412355e-15,NCT00968708,1
sex,-0.125,0.091,-1.3741685924,0.1693893488,NCT00968708,1
como_cnt,0.042,0.033,1.2985905337,0.1940844884,NCT00968708,1
(Intercept),-1.857,0.137,-13.5647651077,6.478687506211848e-42,NCT00968708,2
age_std,0.528,0.067,7.8519484796,4.096227730788022e-15,NCT00968708,2
sex,-0.129,0.091,-1.4167431393,0.1565580395,NCT00968708,2
como_cnt,-0.226,0.097,-2.3304671074,0.0197814765,NCT00968708,2
I(como_cnt^2),0.048,0.016,2.9545345652,0.0031314107,NCT00968708,2
(Intercept),-2.041,0.076,-26.8911740332,2.785539977041098e-159,NCT00968708,5
age_std,0.537,0.067,8.0100715956,1.1464168412222768e-15,NCT00968708,5
sex,-0.122,0.091,-1.345096042,0.1785942212,NCT00968708,5
(Intercept),-2.272,0.108,-21.133620721,3.90430073502191e-99,NCT00968708,3
age_std,0.4,0.065,6.1371008426,8.404104225272711e-10,NCT00968708,3
I(age_std^2),0.343,0.066,5.170355137,2.336495370555678e-7,NCT00968708,3
sex,-0.118,0.091,-1.2945846574,0.1954635479,NCT00968708,3
como_cnt,0.038,0.033,1.1456691484,0.2519320739,NCT00968708,3
(Intercept),-1.996,0.14,-14.2214128195,6.7476758497781815e-46,NCT00968708,4
age_std,0.397,0.065,6.0744603986,1.244053308204123e-9,NCT00968708,4
I(age_std^2),0.345,0.066,5.1870947908,2.136000233404088e-7,NCT00968708,4
sex,-0.122,0.091,-1.3392190213,0.1804993819,NCT00968708,4
como_cnt,-0.234,0.097,-2.4058534411,0.0161347361,NCT00968708,4
I(como_cnt^2),0.048,0.016,2.9804297338,0.0028784427,NCT00968708,4
(Intercept),-3.274,0.616,-5.3103182279,1.094339829356921e-7,NCT01224171,1
age_std,-0.379,0.265,-1.430189507,0.1526626362,NCT01224171,1
sex,-0.177,0.405,-0.4374664103,0.661773131,NCT01224171,1
como_cnt,0.092,0.175,0.522923086,0.6010277784,NCT01224171,1
(Intercept),-3.152,0.633,-4.9816249507,6.305255006129829e-7,NCT01224171,2
age_std,-0.393,0.271,-1.4517801893,0.146562734,NCT01224171,2
sex,-0.206,0.407,-0.5057723101,0.6130164991,NCT01224171,2
como_cnt,-0.183,0.356,-0.5141188897,0.6071688714,NCT01224171,2
I(como_cnt^2),0.065,0.071,0.9158808551,0.3597293892,NCT01224171,2
(Intercept),-3.084,0.488,-6.322069647,2.580830013365069e-10,NCT01224171,5
age_std,-0.337,0.251,-1.3412820949,0.1798288809,NCT01224171,5
sex,-0.204,0.402,-0.5069836627,0.6121662818,NCT01224171,5
(Intercept),-4.028,0.959,-4.2008847964,2.6587386389751268e-5,NCT01224171,3
age_std,-1.737,1.16,-1.4971294011,0.1343595908,NCT01224171,3
I(age_std^2),-0.461,0.367,-1.2547973384,0.209552339,NCT01224171,3
sex,-0.143,0.408,-0.351718442,0.7250494285,NCT01224171,3
como_cnt,0.1,0.173,0.5753972565,0.5650226592,NCT01224171,3
(Intercept),-3.952,0.992,-3.9852517638,6.74086153805941e-5,NCT01224171,4
age_std,-1.798,1.196,-1.5030399463,0.1328287433,NCT01224171,4
I(age_std^2),-0.472,0.375,-1.2588901415,0.2080700152,NCT01224171,4
sex,-0.171,0.409,-0.4180931921,0.6758789823,NCT01224171,4
como_cnt,-0.183,0.361,-0.5084844537,0.6111136389,NCT01224171,4
I(como_cnt^2),0.069,0.074,0.9220975543,0.3564776926,NCT01224171,4
(Intercept),-1.455,0.714,-2.0386826807,0.0414817074,NCT01087762,1
age_std,-0.296,0.266,-1.1127086056,0.2658335984,NCT01087762,1
sex,0.077,0.408,0.1887287903,0.8503053857,NCT01087762,1
como_cnt,0.139,0.209,0.6652843251,0.5058686544,NCT01087762,1
(Intercept),-2.384,1.116,-2.1360753672,0.0326732712,NCT01087762,2
age_std,-0.315,0.266,-1.1855672248,0.235793252,NCT01087762,2
sex,0.159,0.417,0.3803014292,0.7037216747,NCT01087762,2
como_cnt,1.077,0.885,1.2165860293,0.2237617609,NCT01087762,2
I(como_cnt^2),-0.19,0.178,-1.0723670836,0.2835551865,NCT01087762,2
(Intercept),-1.127,0.505,-2.2327770856,0.0255636481,NCT01087762,5
age_std,-0.243,0.253,-0.9625033692,0.3357968116,NCT01087762,5
sex,0.033,0.401,0.0815894635,0.9349731803,NCT01087762,5
(Intercept),-1.28,0.809,-1.5818896693,0.1136747597,NCT01087762,3
age_std,0.055,0.837,0.0656906359,0.9476241278,NCT01087762,3
I(age_std^2),0.129,0.294,0.4389164372,0.660722086,NCT01087762,3
sex,0.081,0.408,0.1984846078,0.8426659264,NCT01087762,3
como_cnt,0.129,0.211,0.6098748448,0.5419447172,NCT01087762,3
(Intercept),-2.217,1.176,-1.8848806224,0.0594459568,NCT01087762,4
age_std,0.042,0.832,0.0504624907,0.9597538394,NCT01087762,4
I(age_std^2),0.132,0.294,0.4501415809,0.6526083564,NCT01087762,4
sex,0.166,0.418,0.3963336747,0.6918588881,NCT01087762,4
como_cnt,1.074,0.889,1.2078163969,0.227117893,NCT01087762,4
I(como_cnt^2),-0.192,0.178,-1.0758021553,0.2820157482,NCT01087762,4
(Intercept),-1.103,0.416,-2.6507926566,0.0080303123,NCT01087788,1
age_std,-0.135,0.25,-0.5380180579,0.5905645818,NCT01087788,1
sex,0.148,0.35,0.4217611796,0.6731993438,NCT01087788,1
como_cnt,0.336,0.14,2.4016972182,0.0163192097,NCT01087788,1
(Intercept),-1.21,0.437,-2.7679968047,0.0056402009,NCT01087788,2
age_std,-0.149,0.25,-0.5964802677,0.5508544321,NCT01087788,2
sex,0.149,0.352,0.4226902873,0.6725212429,NCT01087788,2
como_cnt,0.576,0.315,1.8304655223,0.0671803578,NCT01087788,2
I(como_cnt^2),-0.059,0.069,-0.8608838029,0.3893020433,NCT01087788,2
(Intercept),-0.45,0.301,-1.4942236927,0.135117162,NCT01087788,5
age_std,0.035,0.236,0.1470803079,0.8830686329,NCT01087788,5
sex,-0.134,0.324,-0.4124682514,0.6799962466,NCT01087788,5
(Intercept),-0.779,0.439,-1.7759552476,0.0757402937,NCT01087788,3
age_std,1.897,0.652,2.9108756929,0.0036041738,NCT01087788,3
I(age_std^2),1.13,0.329,3.429750209,6.041371371916306e-4,NCT01087788,3
sex,0.257,0.365,0.7045466932,0.4810923822,NCT01087788,3
como_cnt,0.323,0.145,2.2273056151,0.0259268555,NCT01087788,3
(Intercept),-0.908,0.467,-1.945178105,0.0517535461,NCT01087788,4
age_std,1.87,0.649,2.8813690137,0.0039595177,NCT01087788,4
I(age_std^2),1.13,0.329,3.4349515747,5.926597245556929e-4,NCT01087788,4
sex,0.259,0.367,0.7057730768,0.4803292676,NCT01087788,4
como_cnt,0.582,0.329,1.76892793,0.0769059025,NCT01087788,4
I(como_cnt^2),-0.064,0.072,-0.8810023065,0.3783165716,NCT01087788,4
